id,nombre,circunscripcion
1,AZUAY,false
2,BOLIVAR,false
3,CAÃ‘AR,false
4,CARCHI,false
5,COTOPAXI,false
6,CHIMBORAZO,false
7,EL ORO,false
8,ESMERALDAS,false
9,GUAYAS,true
10,IMBABURA,false
11,LOJA,false
12,LOS RIOS,false
13,MANABI,true
14,MORONA SANTIAGO,false
15,NAPO,false
16,PASTAZA,false
17,PICHINCHA,true
18,TUNGURAHUA,false
19,ZAMORA CHINCHIPE,false
20,GALAPAGOS,false
21,SUCUMBIOS,false
22,ORELLANA,false
23,STO DGO TSACHILAS,false
24,SANTA ELENA,false
26,EUROPA ASIA Y OCEANIA,false
27,EE.UU CANADA,false
28,AMERICA LATINA EL CARIBE Y AFRICA,false